account number;name;sku;quantity;unit price;ext price;date
740150;Barton LLC;B1-20000;39;86.69;3380.91;01.01.2014 7:21
714466;Trantow-Barrows;S2-77896;-1;63.16;-63.16;01.01.2014 10:00
218895;Kulas Inc;B1-69924;23;90.7;2086.1;01.01.2014 13:24
307599;Kassulke, Ondricka and Metz;S1-65481;41;21.май;863.05;01.01.2014 15:05
412290;Jerde-Hilpert;S2-34077;6;83.21;499.26;01.01.2014 23:26
714466;Trantow-Barrows;S2-77896;17;87.63;1489.71;02.01.2014 10:07
218895;Kulas Inc;B1-65551;2;31.янв;62.2;02.01.2014 10:57
729833;Koepp Ltd;S1-30248;8;33.25;266;03.01.2014 6:32
714466;Trantow-Barrows;S1-50961;22;84.09;1849.98;03.01.2014 11:29
737550;Fritsch, Russel and Anderson;S2-82423;14;81.92;1146.88;03.01.2014 19:07
146832;Kiehn-Spinka;S2-82423;15;67.74;1016.1;03.01.2014 19:39
688981;Keeling LLC;S2-00301;7;20.26;141.82;04.01.2014 0:02
786968;Frami, Hills and Schmidt;S2-23246;6;61.31;367.86;04.01.2014 6:51
307599;Kassulke, Ondricka and Metz;S2-10342;17;дек.44;211.48;04.01.2014 7:53
737550;Fritsch, Russel and Anderson;B1-53102;23;71.56;1645.88;04.01.2014 8:57
239344;Stokes LLC;S1-06532;34;71.51;2431.34;04.01.2014 11:34
672390;Kuhn-Gusikowski;S1-30248;14;72.75;1018.5;04.01.2014 19:59
239344;Stokes LLC;B1-50809;14;16.23;227.22;04.01.2014 22:14
141962;Herman LLC;S1-82801;10;94.3;943;05.01.2014 15:12
412290;Jerde-Hilpert;S2-00301;33;31.18;1028.94;05.01.2014 22:39
424914;White-Trantow;S2-00301;45;96.95;4362.75;06.01.2014 8:20
527099;Sanford and Sons;S1-30248;24;50.29;1206.96;06.01.2014 14:14
786968;Frami, Hills and Schmidt;B1-04202;2;52.41;104.82;06.01.2014 15:53
714466;Trantow-Barrows;S1-30248;-1;16.97;-16.97;06.01.2014 18:27
786968;Frami, Hills and Schmidt;S2-83881;34;60.41;2053.94;06.01.2014 23:38
729833;Koepp Ltd;S2-78676;5;14.75;73.75;07.01.2014 0:29
737550;Fritsch, Russel and Anderson;B1-53636;42;42.06;1766.52;08.01.2014 0:02
672390;Kuhn-Gusikowski;S2-83881;42;63.87;2682.54;08.01.2014 10:00
714466;Trantow-Barrows;B1-38851;4;60.04;240.16;08.01.2014 11:50
729833;Koepp Ltd;B1-86481;6;81.79;490.74;08.01.2014 17:46
642753;Pollich LLC;S1-93683;4;87.18;348.72;09.01.2014 0:57
714466;Trantow-Barrows;B1-33087;32;19.56;625.92;09.01.2014 10:16
737550;Fritsch, Russel and Anderson;S1-27722;20;29.54;590.8;09.01.2014 13:20
218895;Kulas Inc;S1-06532;3;22.36;67.08;09.01.2014 23:58
307599;Kassulke, Ondricka and Metz;S2-78676;35;33.04;1156.4;10.01.2014 5:26
527099;Sanford and Sons;S1-27722;48;43.4;2083.2;10.01.2014 10:59
218895;Kulas Inc;S2-34077;16;73.04;1168.64;10.01.2014 12:07
383080;Will LLC;S2-23246;23;59.98;1379.54;10.01.2014 13:44
383080;Will LLC;B1-05914;25;98.46;2461.5;10.01.2014 15:12
729833;Koepp Ltd;B1-33364;7;окт.87;76.09;10.01.2014 22:07
714466;Trantow-Barrows;B1-65551;48;69.36;3329.28;10.01.2014 23:01
146832;Kiehn-Spinka;S2-16558;22;87.91;1934.02;11.01.2014 21:48
737550;Fritsch, Russel and Anderson;S1-93683;22;71.68;1576.96;11.01.2014 23:47
218895;Kulas Inc;B1-50809;43;47.21;2030.03;12.01.2014 1:54
729833;Koepp Ltd;S1-06532;41;80.59;3304.19;12.01.2014 4:47
729833;Koepp Ltd;S2-78676;12;41.27;495.24;13.01.2014 0:05
383080;Will LLC;S1-93683;45;56.61;2547.45;13.01.2014 2:41
218895;Kulas Inc;S1-47412;1;94.01;94.01;13.01.2014 8:36
412290;Jerde-Hilpert;S2-77896;12;42.93;515.16;13.01.2014 13:19
141962;Herman LLC;B1-53636;4;18.72;74.88;13.01.2014 20:50
672390;Kuhn-Gusikowski;S2-23246;25;22.76;569;13.01.2014 23:16
257198;Cronin, Oberbrunner and Spencer;B1-05914;8;23.май;184.4;14.01.2014 1:57
424914;White-Trantow;S2-10342;4;20.67;82.68;14.01.2014 15:07
412290;Jerde-Hilpert;B1-04202;42;86.4;3628.8;14.01.2014 15:18
141962;Herman LLC;S2-00301;22;48.85;1074.7;14.01.2014 23:01
688981;Keeling LLC;S2-16558;11;83.56;919.16;15.01.2014 6:52
412290;Jerde-Hilpert;S2-10342;6;69.92;419.52;15.01.2014 8:32
672390;Kuhn-Gusikowski;S1-30248;12;36.53;438.36;15.01.2014 9:12
307599;Kassulke, Ondricka and Metz;B1-20000;22;37.87;833.14;15.01.2014 16:22
141962;Herman LLC;S1-82801;2;12.янв;24.фев;15.01.2014 17:49
412290;Jerde-Hilpert;S2-16558;16;80.93;1294.88;16.01.2014 5:51
424914;White-Trantow;B1-38851;47;86.32;4057.04;16.01.2014 6:57
141962;Herman LLC;B1-33364;16;13.34;213.44;16.01.2014 9:21
737550;Fritsch, Russel and Anderson;S2-77896;41;38.43;1575.63;16.01.2014 22:39
672390;Kuhn-Gusikowski;B1-65551;17;50.83;864.11;17.01.2014 5:37
218895;Kulas Inc;S1-93683;43;21.72;933.96;17.01.2014 16:18
714466;Trantow-Barrows;B1-04202;16;91.09;1457.44;17.01.2014 18:01
604255;Halvorson, Crona and Champlin;B1-65551;34;62.86;2137.24;17.01.2014 19:00
424914;White-Trantow;B1-53636;44;33.07;1455.08;18.01.2014 1:09
737550;Fritsch, Russel and Anderson;S2-82423;13;24.98;324.74;18.01.2014 6:32
307599;Kassulke, Ondricka and Metz;S2-10342;44;96.79;4258.76;18.01.2014 6:32
146832;Kiehn-Spinka;S1-93683;26;52.07;1353.82;18.01.2014 10:21
383080;Will LLC;S2-83881;35;93.37;3267.95;18.01.2014 11:01
146832;Kiehn-Spinka;S1-50961;39;17.72;691.08;18.01.2014 11:34
383080;Will LLC;S2-77896;14;23.95;335.3;18.01.2014 12:28
714466;Trantow-Barrows;S2-23246;49;73.5;3601.5;18.01.2014 18:30
146832;Kiehn-Spinka;S1-30248;1;31.17;31.17;18.01.2014 22:26
527099;Sanford and Sons;S1-47412;27;77.69;2097.63;18.01.2014 23:43
642753;Pollich LLC;S1-50961;3;20.27;60.81;19.01.2014 0:12
604255;Halvorson, Crona and Champlin;S1-27722;34;88.99;3025.66;19.01.2014 10:16
729833;Koepp Ltd;S2-00301;9;56.32;506.88;19.01.2014 10:34
786968;Frami, Hills and Schmidt;S1-27722;18;33.64;605.52;19.01.2014 11:45
786968;Frami, Hills and Schmidt;B1-33087;22;79.82;1756.04;19.01.2014 21:53
412290;Jerde-Hilpert;S1-82801;16;18.96;303.36;19.01.2014 22:40
688981;Keeling LLC;B1-53102;13;64.38;836.94;20.01.2014 0:00
740150;Barton LLC;B1-50809;8;19.июн;156.8;20.01.2014 1:48
672390;Kuhn-Gusikowski;S1-27722;3;36.97;110.91;20.01.2014 2:29
141962;Herman LLC;S2-34077;44;90.23;3970.12;20.01.2014 7:27
218895;Kulas Inc;S2-83881;41;78.27;3209.07;20.01.2014 9:37
383080;Will LLC;B1-33364;26;90.19;2344.94;20.01.2014 9:39
604255;Halvorson, Crona and Champlin;S2-11481;37;96.71;3578.27;20.01.2014 13:07
740150;Barton LLC;B1-53102;1;68.06;68.06;20.01.2014 13:27
527099;Sanford and Sons;B1-05914;18;64.32;1157.76;20.01.2014 21:40
383080;Will LLC;B1-53636;37;14.апр;532.8;20.01.2014 22:18
714466;Trantow-Barrows;S2-77896;48;37.8;1814.4;21.01.2014 5:05
218895;Kulas Inc;S2-16558;20;57.96;1159.2;21.01.2014 18:16
740150;Barton LLC;S2-16558;2;90.91;181.82;21.01.2014 21:21
383080;Will LLC;B1-33364;43;81.07;3486.01;21.01.2014 23:08
688981;Keeling LLC;B1-65551;22;22.мар;484.66;22.01.2014 0:09
740150;Barton LLC;B1-86481;20;30.41;608.2;22.01.2014 16:33
786968;Frami, Hills and Schmidt;S2-34077;16;14.янв;224.16;22.01.2014 17:01
737550;Fritsch, Russel and Anderson;B1-53102;34;99.48;3382.32;22.01.2014 22:00
218895;Kulas Inc;S1-93683;21;49.59;1041.39;22.01.2014 23:49
729833;Koepp Ltd;S2-11481;42;68.76;2887.92;23.01.2014 2:37
729833;Koepp Ltd;B1-05914;46;43.84;2016.64;23.01.2014 20:40
740150;Barton LLC;S1-06532;10;65.87;658.7;24.01.2014 0:00
163416;Purdy-Kunde;S1-47412;31;54.32;1683.92;24.01.2014 4:14
424914;White-Trantow;S2-78676;39;21.сен;854.1;24.01.2014 8:40
527099;Sanford and Sons;S1-82801;38;78.91;2998.58;24.01.2014 14:15
218895;Kulas Inc;B1-86481;37;95.87;3547.19;24.01.2014 21:42
257198;Cronin, Oberbrunner and Spencer;S2-16558;41;23.35;957.35;25.01.2014 23:53
642753;Pollich LLC;S2-83881;43;13.83;594.69;26.01.2014 7:13
672390;Kuhn-Gusikowski;B1-33087;18;90.34;1626.12;26.01.2014 8:34
239344;Stokes LLC;S2-82423;34;92.67;3150.78;26.01.2014 12:10
163416;Purdy-Kunde;B1-05914;35;85.87;3005.45;26.01.2014 20:08
737550;Fritsch, Russel and Anderson;B1-65551;49;19.14;937.86;27.01.2014 1:59
412290;Jerde-Hilpert;S2-16558;27;ноя.77;317.79;27.01.2014 2:45
740150;Barton LLC;S1-47412;27;36.12;975.24;27.01.2014 5:48
141962;Herman LLC;B1-05914;30;80.49;2414.7;27.01.2014 7:26
141962;Herman LLC;S2-82423;40;50.87;2034.8;27.01.2014 15:18
688981;Keeling LLC;S2-83881;35;29.14;1019.9;28.01.2014 6:50
412290;Jerde-Hilpert;S2-23246;28;30.67;858.76;28.01.2014 8:27
688981;Keeling LLC;S1-65481;26;30.июн;781.56;28.01.2014 10:44
424914;White-Trantow;S2-16558;42;68.86;2892.12;28.01.2014 15:12
737550;Fritsch, Russel and Anderson;S1-65481;47;45.71;2148.37;28.01.2014 15:49
740150;Barton LLC;B1-33364;6;24.64;147.84;28.01.2014 16:28
604255;Halvorson, Crona and Champlin;S2-83881;25;50.24;1256;30.01.2014 3:09
412290;Jerde-Hilpert;B1-53636;42;57.33;2407.86;30.01.2014 11:14
688981;Keeling LLC;B1-04202;27;98.66;2663.82;30.01.2014 22:54
383080;Will LLC;S2-11481;17;67.71;1151.07;30.01.2014 23:25
737550;Fritsch, Russel and Anderson;S1-50961;1;34.81;34.81;30.01.2014 23:56
146832;Kiehn-Spinka;B1-53636;33;93.07;3071.31;31.01.2014 2:53
729833;Koepp Ltd;S2-16558;24;27.дек;650.88;31.01.2014 19:43
383080;Will LLC;B1-05914;43;80.17;3447.31;31.01.2014 22:51
383080;Will LLC;B1-20000;7;33.69;235.83;01.02.2014 9:04
412290;Jerde-Hilpert;S1-27722;11;21.дек;232.32;01.02.2014 11:51
412290;Jerde-Hilpert;B1-86481;3;35.99;107.97;01.02.2014 17:24
412290;Jerde-Hilpert;B1-20000;23;78.9;1814.7;01.02.2014 19:56
672390;Kuhn-Gusikowski;S1-06532;48;55.82;2679.36;02.02.2014 3:45
383080;Will LLC;S1-82801;21;13.62;286.02;02.02.2014 12:45
714466;Trantow-Barrows;S1-06532;9;92.55;832.95;02.02.2014 17:40
239344;Stokes LLC;S1-47412;44;78.91;3472.04;02.02.2014 19:58
672390;Kuhn-Gusikowski;S1-27722;36;25.42;915.12;03.02.2014 1:28
307599;Kassulke, Ondricka and Metz;S1-27722;32;95.66;3061.12;03.02.2014 11:27
642753;Pollich LLC;B1-33087;23;22.55;518.65;04.02.2014 3:53
642753;Pollich LLC;B1-33364;3;72.3;216.9;04.02.2014 5:19
688981;Keeling LLC;B1-20000;-1;72.18;-72.18;04.02.2014 7:43
163416;Purdy-Kunde;B1-05914;33;16.83;555.39;04.02.2014 19:29
257198;Cronin, Oberbrunner and Spencer;S1-30248;23;13.42;308.66;04.02.2014 19:52
737550;Fritsch, Russel and Anderson;S1-47412;40;51.01;2040.4;05.02.2014 1:20
383080;Will LLC;B1-53102;26;41.88;1088.88;05.02.2014 6:16
729833;Koepp Ltd;S1-30248;14;19.96;279.44;05.02.2014 16:03
714466;Trantow-Barrows;B1-86481;31;62.07;1924.17;05.02.2014 19:18
424914;White-Trantow;S1-47412;43;46.49;1999.07;05.02.2014 22:45
218895;Kulas Inc;B1-20000;10;90.8;908;06.02.2014 4:02
714466;Trantow-Barrows;S2-11481;45;24.38;1097.1;06.02.2014 15:31
141962;Herman LLC;B1-50809;9;46.02;414.18;06.02.2014 15:56
218895;Kulas Inc;S1-06532;36;59.4;2138.4;06.02.2014 20:06
740150;Barton LLC;S1-93683;21;окт.34;217.14;07.02.2014 8:34
737550;Fritsch, Russel and Anderson;S1-06532;34;18.69;635.46;07.02.2014 9:22
239344;Stokes LLC;B1-53102;5;76.65;383.25;07.02.2014 21:52
239344;Stokes LLC;B1-53636;6;98.83;592.98;07.02.2014 22:34
412290;Jerde-Hilpert;S1-82801;40;23.24;929.6;08.02.2014 1:14
424914;White-Trantow;B1-53102;20;67.22;1344.4;08.02.2014 4:18
714466;Trantow-Barrows;B1-05914;33;43.11;1422.63;08.02.2014 10:34
146832;Kiehn-Spinka;S2-23246;29;82.52;2393.08;08.02.2014 17:55
424914;White-Trantow;S2-34077;6;52.48;314.88;08.02.2014 23:53
239344;Stokes LLC;B1-53636;37;79.34;2935.58;09.02.2014 1:22
257198;Cronin, Oberbrunner and Spencer;S1-82801;46;25.66;1180.36;09.02.2014 5:16
141962;Herman LLC;B1-33087;27;31.42;848.34;09.02.2014 21:13
604255;Halvorson, Crona and Champlin;S2-83881;19;82.23;1562.37;09.02.2014 22:04
163416;Purdy-Kunde;S1-06532;49;17.88;876.12;10.02.2014 5:46
412290;Jerde-Hilpert;S2-34077;-1;37.88;-37.88;10.02.2014 7:12
688981;Keeling LLC;B1-69924;5;49.93;249.65;10.02.2014 10:25
604255;Halvorson, Crona and Champlin;B1-38851;46;70.65;3249.9;10.02.2014 17:26
412290;Jerde-Hilpert;S2-23246;3;73.82;221.46;11.02.2014 2:26
383080;Will LLC;B1-53102;45;89.22;4014.9;11.02.2014 4:14
604255;Halvorson, Crona and Champlin;B1-53102;12;47.95;575.4;11.02.2014 4:29
604255;Halvorson, Crona and Champlin;S1-47412;39;13.76;536.64;11.02.2014 8:28
257198;Cronin, Oberbrunner and Spencer;B1-38851;47;42.82;2012.54;11.02.2014 15:33
163416;Purdy-Kunde;S1-93683;22;окт.72;235.84;11.02.2014 17:43
257198;Cronin, Oberbrunner and Spencer;B1-53636;32;42.76;1368.32;11.02.2014 21:35
740150;Barton LLC;S2-10342;47;96.68;4543.96;12.02.2014 3:36
740150;Barton LLC;B1-38851;3;79.49;238.47;12.02.2014 5:09
146832;Kiehn-Spinka;B1-53636;9;13.38;120.42;12.02.2014 13:17
527099;Sanford and Sons;S2-78676;25;64.82;1620.5;12.02.2014 14:33
218895;Kulas Inc;S2-78676;36;65.86;2370.96;12.02.2014 19:46
412290;Jerde-Hilpert;S2-78676;19;43.17;820.23;13.02.2014 12:35
424914;White-Trantow;S2-83881;42;88.4;3712.8;13.02.2014 18:40
163416;Purdy-Kunde;S2-16558;40;86.08;3443.2;13.02.2014 18:49
714466;Trantow-Barrows;S1-30248;30;71.02;2130.6;14.02.2014 2:16
257198;Cronin, Oberbrunner and Spencer;B1-53102;11;86.26;948.86;14.02.2014 13:19
714466;Trantow-Barrows;S1-93683;25;46.09;1152.25;14.02.2014 18:30
714466;Trantow-Barrows;S2-77896;34;18.37;624.58;14.02.2014 20:29
239344;Stokes LLC;S2-83881;30;43;1290;15.02.2014 2:13
740150;Barton LLC;B1-20000;28;81.39;2278.92;15.02.2014 7:45
424914;White-Trantow;S1-93683;9;51.71;465.39;15.02.2014 14:15
257198;Cronin, Oberbrunner and Spencer;S1-27722;28;окт.21;285.88;15.02.2014 17:27
146832;Kiehn-Spinka;B1-53102;6;92.89;557.34;16.02.2014 3:32
218895;Kulas Inc;S2-82423;39;65.73;2563.47;16.02.2014 4:51
737550;Fritsch, Russel and Anderson;S1-27722;15;70.23;1053.45;16.02.2014 18:24
424914;White-Trantow;B1-69924;23;95.27;2191.21;17.02.2014 11:25
740150;Barton LLC;B1-38851;17;81.22;1380.74;17.02.2014 17:12
672390;Kuhn-Gusikowski;S2-82423;36;79.02;2844.72;18.02.2014 1:44
141962;Herman LLC;B1-33364;44;25.37;1116.28;18.02.2014 13:55
424914;White-Trantow;B1-50809;40;30.27;1210.8;18.02.2014 18:12
424914;White-Trantow;S1-82801;13;43.88;570.44;19.02.2014 7:17
239344;Stokes LLC;B1-53102;6;66.49;398.94;19.02.2014 7:37
604255;Halvorson, Crona and Champlin;S2-11481;8;74.26;594.08;19.02.2014 22:20
383080;Will LLC;B1-69924;33;95.39;3147.87;20.02.2014 6:16
714466;Trantow-Barrows;S1-65481;2;82.21;164.42;20.02.2014 11:45
527099;Sanford and Sons;S2-10342;25;88.2;2205;20.02.2014 14:31
737550;Fritsch, Russel and Anderson;S2-34077;26;93.35;2427.1;20.02.2014 18:45
163416;Purdy-Kunde;B1-65551;9;48.28;434.52;21.02.2014 4:32
737550;Fritsch, Russel and Anderson;S1-93683;31;окт.52;326.12;21.02.2014 13:55
729833;Koepp Ltd;B1-04202;2;25.98;51.96;21.02.2014 14:08
257198;Cronin, Oberbrunner and Spencer;B1-53636;47;50.4;2368.8;21.02.2014 20:25
786968;Frami, Hills and Schmidt;B1-20000;28;89.59;2508.52;21.02.2014 22:09
527099;Sanford and Sons;S1-65481;4;61.28;245.12;22.02.2014 6:43
141962;Herman LLC;B1-38851;20;72.88;1457.6;22.02.2014 16:39
688981;Keeling LLC;B1-38851;40;51.03;2041.2;22.02.2014 17:44
218895;Kulas Inc;B1-33087;47;59.7;2805.9;22.02.2014 20:44
257198;Cronin, Oberbrunner and Spencer;S1-47412;43;96.8;4162.4;23.02.2014 14:26
786968;Frami, Hills and Schmidt;S1-93683;33;48.97;1616.01;23.02.2014 19:12
257198;Cronin, Oberbrunner and Spencer;B1-33087;23;58.28;1340.44;24.02.2014 5:24
737550;Fritsch, Russel and Anderson;S2-82423;46;67.67;3112.82;24.02.2014 8:35
740150;Barton LLC;B1-33087;35;93.25;3263.75;25.02.2014 2:55
239344;Stokes LLC;S1-82801;43;35.75;1537.25;25.02.2014 7:32
604255;Halvorson, Crona and Champlin;B1-86481;9;62.64;563.76;25.02.2014 15:25
146832;Kiehn-Spinka;S1-50961;11;35.48;390.28;26.02.2014 2:24
141962;Herman LLC;B1-69924;21;95;1995;26.02.2014 19:08
383080;Will LLC;S2-23246;47;окт.93;513.71;26.02.2014 20:41
383080;Will LLC;B1-20000;4;35.04;140.16;26.02.2014 23:56
672390;Kuhn-Gusikowski;S1-93683;10;34.96;349.6;27.02.2014 2:58
424914;White-Trantow;S1-93683;-1;25.янв;-25.01;27.02.2014 10:32
383080;Will LLC;S1-93683;41;97.29;3988.89;27.02.2014 14:54
714466;Trantow-Barrows;S2-11481;46;39.61;1822.06;27.02.2014 16:12
740150;Barton LLC;S1-30248;21;14.май;295.05;28.02.2014 2:29
218895;Kulas Inc;B1-69924;44;72.43;3186.92;28.02.2014 8:42
383080;Will LLC;B1-53102;6;32.8;196.8;28.02.2014 17:35
688981;Keeling LLC;S2-23246;18;64.71;1164.78;28.02.2014 23:21
642753;Pollich LLC;B1-04202;8;95.86;766.88;28.02.2014 23:47
163416;Purdy-Kunde;S1-30248;19;65.03;1235.57;01.03.2014 16:07
527099;Sanford and Sons;S2-82423;3;76.21;228.63;01.03.2014 17:18
527099;Sanford and Sons;B1-50809;8;70.78;566.24;01.03.2014 18:53
737550;Fritsch, Russel and Anderson;B1-50809;20;50.11;1002.2;01.03.2014 23:47
688981;Keeling LLC;B1-86481;-1;97.16;-97.16;02.03.2014 1:46
729833;Koepp Ltd;S1-82801;26;50.29;1307.54;02.03.2014 2:59
307599;Kassulke, Ondricka and Metz;S1-93683;-1;86.38;-86.38;02.03.2014 3:29
412290;Jerde-Hilpert;S2-23246;27;58.87;1589.49;02.03.2014 12:10
307599;Kassulke, Ondricka and Metz;S2-34077;48;53.36;2561.28;02.03.2014 14:12
141962;Herman LLC;S2-10342;49;31.39;1538.11;02.03.2014 23:08
257198;Cronin, Oberbrunner and Spencer;S2-16558;7;26.21;183.47;03.03.2014 0:29
257198;Cronin, Oberbrunner and Spencer;S2-23246;40;49.19;1967.6;03.03.2014 10:17
688981;Keeling LLC;B1-38851;25;74.68;1867;03.03.2014 18:18
239344;Stokes LLC;S1-82801;41;78.9;3234.9;04.03.2014 1:06
218895;Kulas Inc;S2-78676;38;89.02;3382.76;04.03.2014 1:17
642753;Pollich LLC;S2-10342;40;56.85;2274;04.03.2014 1:49
737550;Fritsch, Russel and Anderson;S2-83881;12;63.6;763.2;04.03.2014 15:26
146832;Kiehn-Spinka;B1-53636;5;72.16;360.8;04.03.2014 21:18
412290;Jerde-Hilpert;S2-77896;43;76.66;3296.38;04.03.2014 23:10
383080;Will LLC;S1-93683;28;90.86;2544.08;05.03.2014 5:11
729833;Koepp Ltd;S1-30248;13;44.84;582.92;05.03.2014 17:33
424914;White-Trantow;S2-82423;38;50.93;1935.34;05.03.2014 21:40
672390;Kuhn-Gusikowski;S1-50961;34;48.2;1638.8;06.03.2014 11:59
239344;Stokes LLC;S2-10342;34;36.93;1255.62;06.03.2014 23:49
218895;Kulas Inc;S2-34077;30;99.73;2991.9;07.03.2014 5:15
672390;Kuhn-Gusikowski;B1-05914;25;89.86;2246.5;07.03.2014 6:25
740150;Barton LLC;S1-82801;29;60.81;1763.49;07.03.2014 10:24
218895;Kulas Inc;B1-20000;23;99.57;2290.11;07.03.2014 13:34
257198;Cronin, Oberbrunner and Spencer;S1-30248;14;91.37;1279.18;07.03.2014 16:21
672390;Kuhn-Gusikowski;S2-83881;26;88.38;2297.88;07.03.2014 20:18
424914;White-Trantow;B1-53636;44;59.93;2636.92;07.03.2014 21:16
307599;Kassulke, Ondricka and Metz;S2-10342;4;дек.99;51.96;07.03.2014 23:59
383080;Will LLC;B1-20000;45;29.сен;1345.5;08.03.2014 1:50
527099;Sanford and Sons;S2-82423;44;23.мар;1025.2;09.03.2014 0:18
146832;Kiehn-Spinka;S2-77896;27;70.76;1910.52;09.03.2014 11:05
642753;Pollich LLC;B1-05914;15;65.5;982.5;09.03.2014 11:22
786968;Frami, Hills and Schmidt;S1-65481;14;44.67;625.38;09.03.2014 19:13
527099;Sanford and Sons;S1-82801;35;95.17;3330.95;09.03.2014 19:13
257198;Cronin, Oberbrunner and Spencer;S2-23246;43;87.4;3758.2;10.03.2014 5:39
527099;Sanford and Sons;B1-65551;6;58.04;348.24;10.03.2014 5:52
218895;Kulas Inc;S1-47412;21;94.45;1983.45;10.03.2014 11:02
729833;Koepp Ltd;S2-10342;12;93.64;1123.68;10.03.2014 13:08
412290;Jerde-Hilpert;S1-82801;26;74.79;1944.54;11.03.2014 2:49
642753;Pollich LLC;S2-77896;13;48.14;625.82;11.03.2014 6:19
218895;Kulas Inc;B1-33364;17;93.01;1581.17;11.03.2014 8:20
307599;Kassulke, Ondricka and Metz;S1-50961;28;34.87;976.36;11.03.2014 10:49
146832;Kiehn-Spinka;S1-93683;17;окт.63;180.71;11.03.2014 12:43
383080;Will LLC;S1-82801;3;77.06;231.18;11.03.2014 16:38
672390;Kuhn-Gusikowski;B1-38851;44;48.69;2142.36;12.03.2014 1:09
307599;Kassulke, Ondricka and Metz;S2-82423;5;18.88;94.4;12.03.2014 5:21
257198;Cronin, Oberbrunner and Spencer;S1-93683;34;79.57;2705.38;12.03.2014 8:58
729833;Koepp Ltd;B1-38851;2;61.18;122.36;13.03.2014 8:21
146832;Kiehn-Spinka;S2-77896;1;96.07;96.07;13.03.2014 9:41
239344;Stokes LLC;B1-38851;27;50.42;1361.34;13.03.2014 11:54
672390;Kuhn-Gusikowski;S1-93683;5;95.4;477;14.03.2014 0:19
412290;Jerde-Hilpert;S2-10342;13;70.43;915.59;14.03.2014 10:04
714466;Trantow-Barrows;B1-33087;43;32.77;1409.11;14.03.2014 12:47
